millisInsercao,grau,siglaTribunal,valorCausa,nivelSigilo,numero,codigoOrgaoJulgador,procEl,classeProcessual,tamanhoProcesso,dscSistema,competencia,codigoLocalidade,totalAssuntos,dataAjuizamento,movimentoNacional,movimentoLocal,assuntoNacional,assuntoLocal,tempo_proc_dias,data_ultimo_mov,total_movs_loc,total_movs_nac,total_movs,1_mov_nac_freq,2_mov_nac_freq,desc_mov1,desc_mov2,tempoMedioEntreMovimentos,cluster_processo,pontuacao_processo
1527867326354,3,TST,0.0,0,00023013619905555555,45240,0,987,0,0,5,5300108,0,637210800000,"[[246, '20170215153349'], [92, '20111011075200']]",[],"[[864, False]]",[],9837,20170215153349,0.0,2.0,2.0,246,92,Definitivo,Definitivo,4918.5,3,221.84977417942792
1527867219327,3,TST,0.0,0,00085561019905555555,45240,0,241,0,0,5,5300108,0,646887600000,"[[123, '20150429162216'], [246, '20150429174357']]",[],"[[864, False]]",[],9067,20150429174357,0.0,2.0,2.0,123,246,Remessa,Remessa,4533.5,3,206.00615278025094
1527867206431,3,TST,0.0,0,00052235019905555555,45240,0,241,0,0,5,5300108,0,648442800000,"[[123, '20150429162232'], [246, '20150429174318']]",[],"[[864, False]]",[],9049,20150429174318,0.0,2.0,2.0,123,246,Remessa,Remessa,4524.5,3,205.63578240988062
1570040345437,3,TST,0.0,0,00158737219905155555,45227,0,1008,0,0,5,3509502,0,654490800000,"[[132, '20180417171949'], [123, '20180515090250'], [123, '20180515092207'], [123, '20180419154042']]",[],"[[864, False]]",[],10091,20180515092207,0.0,4.0,4.0,123,132,Remessa,Remessa,2522.75,3,192.4704874853264
1570040406724,3,TST,0.0,0,00207456319915150037,45241,0,204,52687,0,5,3515509,0,664164000000,"[[132, '20181106031341'], [123, '20170316164625'], [51, '20170317184032'], [92, '20180528070000'], [123, '20170222134701'], [123, '20180913141824'], [123, '20180913141824'], [51, '20170313115214'], [92, '20180528070000'], [272, '20120412134157'], [51, '20161010183028'], [92, '20170301070000'], [123, '20180518131533'], [123, '20190909210231']]",[],"[[864, False]]",[],10461,20190909210231,0.0,14.0,14.0,123,51,Remessa,Remessa,747.2142857142857,3,173.1901621864826
1571675238106,3,TST,0.0,0,00207456319915150037,45227,0,204,52687,0,5,3515509,0,664164000000,"[[92, '20180528070000'], [51, '20161010183028'], [51, '20170317184032'], [132, '20181106031341'], [123, '20180913141824'], [132, '20191001104310'], [51, '20170313115214'], [123, '20170222134701'], [123, '20190909210231'], [272, '20120412134157'], [123, '20180913141824'], [123, '20180518131533'], [123, '20170316164625'], [92, '20180528070000'], [92, '20170301070000']]",[],"[[864, False]]",[],10483,20191001104310,0.0,15.0,15.0,123,92,Remessa,Remessa,698.8666666666667,3,172.82874080036987
1570040395254,3,TST,0.0,0,00012183319955115555,45227,0,241,0,0,5,1302603,0,677473200000,"[[123, '20151015170956'], [246, '20190819184509'], [123, '20151015142109']]",[],"[[864, False]]",[],10286,20190819184509,0.0,3.0,3.0,123,246,Remessa,Remessa,3428.6666666666665,3,207.57222502533557
1574276417628,3,TST,0.0,0,00518365219925055555,45227,0,1009,0,0,5,2927408,0,707540400000,"[[132, '20191004134511'], [123, '20191004155921'], [123, '20191022134523'], [132, '20191004134510'], [123, '20191022134441']]",[],"[[864, False]]",[],10002,20191022134523,0.0,5.0,5.0,123,132,Remessa,Remessa,2000.4,3,184.0843420806625
1570040415393,3,TST,0.0,0,00672590219935025555,45241,0,1008,20943,0,5,3550308,0,726717600000,"[[123, '20141020101247'], [132, '20141023131707'], [123, '20141112190337'], [132, '20131209175020'], [123, '20140121141453'], [123, '20131213141442'], [123, '20140311184747'], [51, '20140506132206'], [92, '20141024070000'], [265, '20170324163904'], [272, '20141112190411']]",[],"[[864, False]]",[],8838,20170324163904,0.0,11.0,11.0,123,132,Remessa,Remessa,803.4545454545455,3,151.69825902791277
1570040363984,3,TST,0.0,0,01155639519945025555,45227,0,241,0,0,5,3550308,0,772167600000,"[[246, '20180823171449']]",[],"[[864, False]]",[],8829,20180823171449,0.0,1.0,1.0,246,0,Definitivo,0,8829.0,3,261.6645889942427
1570040399434,3,TST,0.0,0,01349913619945035555,45227,0,241,0,0,5,3106200,0,781498800000,"[[246, '20181128164718']]",[],"[[864, False]]",[],8818,20181128164718,0.0,1.0,1.0,246,0,Definitivo,0,8818.0,3,261.3628057294965
1570040353772,3,TST,0.0,0,01548102919945045555,45227,0,241,0,0,5,4314902,0,786160800000,"[[246, '20180823171214']]",[],"[[864, False]]",[],8667,20180823171214,0.0,1.0,1.0,246,0,Definitivo,0,8667.0,3,257.2201445497983
1570040395269,3,TST,0.0,0,01977408719955095555,45227,0,241,0,0,5,4106902,0,805086000000,"[[132, '20190325080645'], [132, '20190325080644'], [123, '20190326092041'], [123, '20190326093343']]",[],"[[864, False]]",[],8663,20190326093343,0.0,4.0,4.0,132,123,Recebimento,Recebimento,2165.75,3,167.98489077750747
1582017234461,3,TST,0.0,0,00019778319955155555,45227,0,241,0,0,5,3509502,0,808369200000,"[[246, '20200116124000']]",[],"[[864, False]]",[],8921,20200116124000,0.0,1.0,1.0,246,0,Definitivo,0,8921.0,3,264.18859448121117
1527867426211,3,TST,0.0,0,00023550219955025555,45240,0,241,0,0,5,3550308,0,811047600000,"[[246, '20150511134331'], [246, '19960109070000'], [123, '20150511133712']]",[],"[[864, False]]",[],7179,20150511134331,0.0,3.0,3.0,246,123,Definitivo,Definitivo,2393.0,3,150.74552177887924
1527867055167,3,TST,0.0,0,00158737219905155555,45240,0,1008,0,0,5,3509502,0,812602800000,"[[123, '20180419154042'], [132, '20180417171949']]",[],"[[864, False]]",[],8235,20180419154042,0.0,2.0,2.0,123,132,Remessa,Remessa,4117.5,3,188.88681121646496
1527867055809,3,TST,0.0,0,02395866119965055555,45240,0,241,0,0,5,2927408,0,820548000000,"[[246, '20160608153238']]",[],"[[864, False]]",[],7463,20160608153238,0.0,1.0,1.0,246,0,Definitivo,0,7463.0,3,224.18859448121117
1527867505075,3,TST,0.0,0,02395846419965065555,45240,0,1689,0,0,5,2611606,0,820548000000,"[[246, '20160606100555']]",[],"[[864, False]]",[],7461,20160606100555,0.0,1.0,1.0,246,0,Definitivo,0,7461.0,3,224.13372479671185
1527867534828,3,TST,0.0,0,02395855419965135555,45240,0,241,0,0,5,2507507,0,820548000000,"[[246, '20160602091225']]",[],"[[864, False]]",[],7457,20160602091225,0.0,1.0,1.0,246,0,Definitivo,0,7457.0,3,224.02398542771323
1527867238485,3,TST,0.0,0,02396030819965555555,45240,0,987,0,0,5,5300108,0,821671200000,"[[246, '20170331155835']]",[],"[[864, False]]",[],7746,20170331155835,0.0,1.0,1.0,246,0,Definitivo,0,7746.0,3,231.95265483786412
1527867100914,3,TST,0.0,0,02396125319965165555,45240,0,241,0,0,5,2111300,0,821757600000,"[[246, '20160902130114']]",[],"[[864, False]]",[],7535,20160902130114,0.0,1.0,1.0,246,0,Definitivo,0,7535.0,3,226.16390312318651
1527867101038,3,TST,0.0,0,02400995619965045555,45240,0,1009,0,0,5,4314902,0,821930400000,"[[246, '20160602100427']]",[],"[[864, False]]",[],7441,20160602100427,0.0,1.0,1.0,246,0,Definitivo,0,7441.0,3,223.58502795171873
1527867219632,3,TST,0.0,0,02403698019965045555,45240,0,1689,0,0,5,4314902,0,821930400000,"[[246, '20160601135359']]",[],"[[864, False]]",[],7440,20160601135359,0.0,1.0,1.0,246,0,Definitivo,0,7440.0,3,223.55759310946905
1527867505180,3,TST,0.0,0,02403810719965185555,45240,0,241,0,0,5,5208707,0,822276000000,"[[246, '20160613132148']]",[],"[[864, False]]",[],7448,20160613132148,0.0,1.0,1.0,246,0,Definitivo,0,7448.0,3,223.77707184746635
1527867552425,3,TST,0.0,0,02403828919965185555,45240,0,47,0,0,5,5208707,0,822276000000,"[[246, '20160627115636']]",[],"[[864, False]]",[],7462,20160627115636,0.0,1.0,1.0,246,0,Definitivo,0,7462.0,3,224.16115963896152
1527867308376,3,TST,0.0,0,02403931119965045555,45240,0,1689,0,0,5,4314902,0,822448800000,"[[246, '20160617134000']]",[],"[[864, False]]",[],7450,20160617134000,0.0,1.0,1.0,246,0,Definitivo,0,7450.0,3,223.83194153196564
1527867190637,3,TST,0.0,0,02414793319965075555,45240,0,241,0,0,5,2304400,0,822535200000,"[[246, '20160610112145']]",[],"[[864, False]]",[],7442,20160610112145,0.0,1.0,1.0,246,0,Definitivo,0,7442.0,3,223.61246279396838
